"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
18-08-17,"Leganes","Alaves",1,0,"H"
18-08-17,"Valencia","Las Palmas",1,0,"H"
19-08-17,"Celta","Sociedad",2,3,"A"
19-08-17,"Girona","Ath Madrid",2,2,"D"
19-08-17,"Sevilla","Espanol",1,1,"D"
20-08-17,"Ath Bilbao","Getafe",0,0,"D"
20-08-17,"Barcelona","Betis",2,0,"H"
20-08-17,"La Coruna","Real Madrid",0,3,"A"
21-08-17,"Levante","Villarreal",1,0,"H"
21-08-17,"Malaga","Eibar",0,1,"A"
25-08-17,"Betis","Celta",2,1,"H"
25-08-17,"Sociedad","Villarreal",3,0,"H"
26-08-17,"Alaves","Barcelona",0,2,"A"
26-08-17,"Girona","Malaga",1,0,"H"
26-08-17,"Las Palmas","Ath Madrid",1,5,"A"
26-08-17,"Levante","La Coruna",2,2,"D"
27-08-17,"Eibar","Ath Bilbao",0,1,"A"
27-08-17,"Espanol","Leganes",0,1,"A"
27-08-17,"Getafe","Sevilla",0,1,"A"
27-08-17,"Real Madrid","Valencia",2,2,"D"
8-09-17,"Leganes","Getafe",1,2,"A"
9-09-17,"Barcelona","Espanol",5,0,"H"
9-09-17,"Real Madrid","Levante",1,1,"D"
9-09-17,"Sevilla","Eibar",3,0,"H"
9-09-17,"Valencia","Ath Madrid",0,0,"D"
10-09-17,"Ath Bilbao","Girona",2,0,"H"
10-09-17,"Celta","Alaves",1,0,"H"
10-09-17,"La Coruna","Sociedad",2,4,"A"
10-09-17,"Villarreal","Betis",3,1,"H"
11-09-17,"Malaga","Las Palmas",1,3,"A"
15-09-17,"Eibar","Leganes",1,0,"H"
16-09-17,"Ath Madrid","Malaga",1,0,"H"
16-09-17,"Betis","La Coruna",2,1,"H"
16-09-17,"Getafe","Barcelona",1,2,"A"
16-09-17,"Levante","Valencia",1,1,"D"
17-09-17,"Alaves","Villarreal",0,3,"A"
17-09-17,"Girona","Sevilla",0,1,"A"
17-09-17,"Las Palmas","Ath Bilbao",1,0,"H"
17-09-17,"Sociedad","Real Madrid",1,3,"A"
18-09-17,"Espanol","Celta",2,1,"H"
19-09-17,"Barcelona","Eibar",6,1,"H"
19-09-17,"Valencia","Malaga",5,0,"H"
20-09-17,"Ath Bilbao","Ath Madrid",1,2,"A"
20-09-17,"La Coruna","Alaves",1,0,"H"
20-09-17,"Leganes","Girona",0,0,"D"
20-09-17,"Real Madrid","Betis",0,1,"A"
20-09-17,"Sevilla","Las Palmas",1,0,"H"
21-09-17,"Celta","Getafe",1,1,"D"
21-09-17,"Levante","Sociedad",3,0,"H"
21-09-17,"Villarreal","Espanol",0,0,"D"
23-09-17,"Alaves","Real Madrid",1,2,"A"
23-09-17,"Ath Madrid","Sevilla",2,0,"H"
23-09-17,"Girona","Barcelona",0,3,"A"
23-09-17,"Malaga","Ath Bilbao",3,3,"D"
24-09-17,"Eibar","Celta",0,4,"A"
24-09-17,"Espanol","La Coruna",4,1,"H"
24-09-17,"Getafe","Villarreal",4,0,"H"
24-09-17,"Las Palmas","Leganes",0,2,"A"
24-09-17,"Sociedad","Valencia",2,3,"A"
25-09-17,"Betis","Levante",4,0,"H"
29-09-17,"Celta","Girona",3,3,"D"
30-09-17,"La Coruna","Getafe",2,1,"H"
30-09-17,"Leganes","Ath Madrid",0,0,"D"
30-09-17,"Levante","Alaves",0,2,"A"
30-09-17,"Sevilla","Malaga",2,0,"H"
1-10-17,"Barcelona","Las Palmas",3,0,"H"
1-10-17,"Real Madrid","Espanol",2,0,"H"
1-10-17,"Sociedad","Betis",4,4,"D"
1-10-17,"Valencia","Ath Bilbao",3,2,"H"
1-10-17,"Villarreal","Eibar",3,0,"H"
13-10-17,"Espanol","Levante",0,0,"D"
14-10-17,"Alaves","Sociedad",0,2,"A"
14-10-17,"Ath Bilbao","Sevilla",1,0,"H"
14-10-17,"Ath Madrid","Barcelona",1,1,"D"
14-10-17,"Getafe","Real Madrid",1,2,"A"
15-10-17,"Betis","Valencia",3,6,"A"
15-10-17,"Eibar","La Coruna",0,0,"D"
15-10-17,"Girona","Villarreal",1,2,"A"
15-10-17,"Malaga","Leganes",0,2,"A"
16-10-17,"Las Palmas","Celta",2,5,"A"
21-10-17,"Barcelona","Malaga",2,0,"H"
21-10-17,"Betis","Alaves",2,0,"H"
21-10-17,"Levante","Getafe",1,1,"D"
21-10-17,"Valencia","Sevilla",4,0,"H"
22-10-17,"Celta","Ath Madrid",0,1,"A"
22-10-17,"Leganes","Ath Bilbao",1,0,"H"
22-10-17,"Real Madrid","Eibar",3,0,"H"
22-10-17,"Villarreal","Las Palmas",4,0,"H"
23-10-17,"La Coruna","Girona",1,2,"A"
23-10-17,"Sociedad","Espanol",1,1,"D"
28-10-17,"Alaves","Valencia",1,2,"A"
28-10-17,"Ath Bilbao","Barcelona",0,2,"A"
28-10-17,"Ath Madrid","Villarreal",1,1,"D"
28-10-17,"Sevilla","Leganes",2,1,"H"
29-10-17,"Eibar","Levante",2,2,"D"
29-10-17,"Getafe","Sociedad",2,1,"H"
29-10-17,"Girona","Real Madrid",2,1,"H"
29-10-17,"Malaga","Celta",2,1,"H"
30-10-17,"Espanol","Betis",1,0,"H"
30-10-17,"Las Palmas","La Coruna",1,3,"A"
3-11-17,"Betis","Getafe",2,2,"D"
4-11-17,"Alaves","Espanol",1,0,"H"
4-11-17,"Barcelona","Sevilla",2,1,"H"
4-11-17,"La Coruna","Ath Madrid",0,1,"A"
4-11-17,"Valencia","Leganes",3,0,"H"
5-11-17,"Celta","Ath Bilbao",3,1,"H"
5-11-17,"Levante","Girona",1,2,"A"
5-11-17,"Real Madrid","Las Palmas",3,0,"H"
5-11-17,"Sociedad","Eibar",3,1,"H"
5-11-17,"Villarreal","Malaga",2,0,"H"
17-11-17,"Girona","Sociedad",1,1,"D"
18-11-17,"Ath Madrid","Real Madrid",0,0,"D"
18-11-17,"Getafe","Alaves",4,1,"H"
18-11-17,"Leganes","Barcelona",0,3,"A"
18-11-17,"Sevilla","Celta",2,1,"H"
19-11-17,"Ath Bilbao","Villarreal",1,1,"D"
19-11-17,"Espanol","Valencia",0,2,"A"
19-11-17,"Las Palmas","Levante",0,2,"A"
19-11-17,"Malaga","La Coruna",3,2,"H"
20-11-17,"Eibar","Betis",5,0,"H"
24-11-17,"Celta","Leganes",1,0,"H"
25-11-17,"Alaves","Eibar",1,2,"A"
25-11-17,"Betis","Girona",2,2,"D"
25-11-17,"Levante","Ath Madrid",0,5,"A"
25-11-17,"Real Madrid","Malaga",3,2,"H"
26-11-17,"La Coruna","Ath Bilbao",2,2,"D"
26-11-17,"Sociedad","Las Palmas",2,2,"D"
26-11-17,"Valencia","Barcelona",1,1,"D"
26-11-17,"Villarreal","Sevilla",2,3,"A"
27-11-17,"Espanol","Getafe",1,0,"H"
1-12-17,"Malaga","Levante",0,0,"D"
2-12-17,"Ath Bilbao","Real Madrid",0,0,"D"
2-12-17,"Ath Madrid","Sociedad",2,1,"H"
2-12-17,"Barcelona","Celta",2,2,"D"
2-12-17,"Sevilla","La Coruna",2,0,"H"
3-12-17,"Eibar","Espanol",3,1,"H"
3-12-17,"Getafe","Valencia",1,0,"H"
3-12-17,"Las Palmas","Betis",1,0,"H"
